proyecto;modulo;ra;bloque;tipo;nivel;tecnologias;fuentes_java;construccion;clases_principales;ruta
app;ADT;RA6;RA6_Componentes_y_API_REST;Proyecto práctico;Avanzado;Spring Boot, Hibernate/JPA, JUnit;10;Proyecto Eclipse/Java;com.miempresa.app.AppApplication;ADT/RA6_Componentes_y_API_REST/app
CentroHibernate;ADT;RA3;RA3_ORM_Hibernate_y_JPA;Proyecto práctico;Avanzado;Hibernate/JPA, Oracle JDBC;18;Maven;com.ejemplo.centro.app.AppHibernate;ADT/RA3_ORM_Hibernate_y_JPA/CentroHibernate
CentroJPA;ADT;RA3;RA3_ORM_Hibernate_y_JPA;Proyecto práctico;Avanzado;Hibernate/JPA, Oracle JDBC;18;Maven;com.ejemplo.centro.app.AppJPA;ADT/RA3_ORM_Hibernate_y_JPA/CentroJPA
ConcesionarioHibernate;ADT;RA3;RA3_ORM_Hibernate_y_JPA;Proyecto práctico;Avanzado;Hibernate/JPA, Oracle JDBC;9;Maven;com.ejercicio14.concesionario.app.PrincipalHibernate;ADT/RA3_ORM_Hibernate_y_JPA/ConcesionarioHibernate
ConcesionarioJPA;ADT;RA3;RA3_ORM_Hibernate_y_JPA;Proyecto práctico;Avanzado;Hibernate/JPA, Oracle JDBC;9;Maven;com.ejercicio14.concesionario.app.PrincipalJPA;ADT/RA3_ORM_Hibernate_y_JPA/ConcesionarioJPA
Depredador_presa;PSP;RA2;RA2_Programacion_multihilo;Proyecto práctico;Intermedio;Hilos Java;5;Proyecto Eclipse/Java;Depredador_presa.Principal;PSP/RA2_Programacion_multihilo/Depredador_presa
Ejemplo_10_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_10_tema_2_acceso_datos.ArchivoLee;ADT/RA1_Ficheros_y_serializacion/Ejemplo_10_tema_2_acceso_datos
Ejemplo_11_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Serialización;3;Proyecto Eclipse/Java;Ejemplo_11_tema_2_acceso_datos.Ejemplo;ADT/RA1_Ficheros_y_serializacion/Ejemplo_11_tema_2_acceso_datos
Ejemplo_12_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_12_tema_2_acceso_datos.Ejemplo;ADT/RA1_Ficheros_y_serializacion/Ejemplo_12_tema_2_acceso_datos
Ejemplo_14_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Jackson;3;Maven;EjemploJackson;ADT/RA1_Ficheros_y_serializacion/Ejemplo_14_tema_2_acceso_datos
Ejemplo_15_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Jackson;2;Maven;Ejemplo_15_tema_2_acceso_datos.ConvertirXmlJson;ADT/RA1_Ficheros_y_serializacion/Ejemplo_15_tema_2_acceso_datos
Ejemplo_16_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Jackson;1;Maven;Ejemplo_16_tema_2_acceso_datos.EjemploJackson;ADT/RA1_Ficheros_y_serializacion/Ejemplo_16_tema_2_acceso_datos
Ejemplo_17_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;JSON-java;1;Maven;Ejemplo_17_tema_2_acceso_datos.EjemploOrgJson;ADT/RA1_Ficheros_y_serializacion/Ejemplo_17_tema_2_acceso_datos
Ejemplo_18_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Gson;2;Maven;Ejemplo_18_tema_2_acceso_datos.EjemploGson;ADT/RA1_Ficheros_y_serializacion/Ejemplo_18_tema_2_acceso_datos
Ejemplo_19_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Jackson;2;Maven;Ejemplo_19_tema_2_acceso_datos.EjemploAnotacionesJackson;ADT/RA1_Ficheros_y_serializacion/Ejemplo_19_tema_2_acceso_datos
Ejemplo_1_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_1_tema_2_acceso_datos.Ejemplo;ADT/RA1_Ficheros_y_serializacion/Ejemplo_1_tema_2_acceso_datos
Ejemplo_20_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;OpenCSV;2;Maven;Ejemplo_20_tema_2_acceso_datos.EjemploCsv;ADT/RA1_Ficheros_y_serializacion/Ejemplo_20_tema_2_acceso_datos
Ejemplo_2_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_2_tema_2_acceso_datos.Ejemplo;ADT/RA1_Ficheros_y_serializacion/Ejemplo_2_tema_2_acceso_datos
Ejemplo_3_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_3_tema_2_acceso_datos.Ejemplo;ADT/RA1_Ficheros_y_serializacion/Ejemplo_3_tema_2_acceso_datos
Ejemplo_3_tema_3_acceso_datos;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;MySQL/JDBC;2;Maven;Ejemplo_3_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_3_tema_3_acceso_datos
Ejemplo_4_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Básico;Java SE;4;Proyecto Eclipse/Java;Ejemplo_4_tema_2_acceso_datos.Ejemplo;ADT/RA1_Ficheros_y_serializacion/Ejemplo_4_tema_2_acceso_datos
Ejemplo_4_tema_3_acceso_datos;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;Oracle JDBC;2;Maven;Ejemplo_4_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_4_tema_3_acceso_datos
Ejemplo_5_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Básico;Java SE;4;Proyecto Eclipse/Java;Ejemplo_5_tema_2_acceso_datos.Principal;ADT/RA1_Ficheros_y_serializacion/Ejemplo_5_tema_2_acceso_datos
Ejemplo_5_tema_3_acceso_datos;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;Oracle JDBC;2;Maven;Ejemplo_5_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_5_tema_3_acceso_datos
Ejemplo_6_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;3;Proyecto Eclipse/Java;Ejemplo_6_tema_2_acceso_datos.Excepcion;ADT/RA1_Ficheros_y_serializacion/Ejemplo_6_tema_2_acceso_datos
Ejemplo_6_tema_3_acceso_datois;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;Oracle JDBC;2;Maven;Ejemplo_6_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_6_tema_3_acceso_datois
Ejemplo_7_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_7_tema_2_acceso_datos.LeeStrings;ADT/RA1_Ficheros_y_serializacion/Ejemplo_7_tema_2_acceso_datos
Ejemplo_7_tema_3_acceso_datos;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;Oracle JDBC;2;Maven;Ejemplo_7_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_7_tema_3_acceso_datos
Ejemplo_8_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_8_tema_2_acceso_datos.LeeStrings;ADT/RA1_Ficheros_y_serializacion/Ejemplo_8_tema_2_acceso_datos
Ejemplo_8_tema_3_acceso_datos;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;Oracle JDBC;2;Maven;Ejemplo_8_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_8_tema_3_acceso_datos
Ejemplo_9_tema_2_acceso_datos;ADT;RA1;RA1_Ficheros_y_serializacion;Ejemplo guiado;Inicial;Java SE;2;Proyecto Eclipse/Java;Ejemplo_9_tema_2_acceso_datos.ArchivoCad;ADT/RA1_Ficheros_y_serializacion/Ejemplo_9_tema_2_acceso_datos
Ejemplo_9_tema_3_acceso_datos;ADT;RA2;RA2_Bases_relacionales_y_JDBC;Ejemplo guiado;Inicial;MySQL/JDBC;2;Maven;Ejemplo_9_tema_3_acceso_datos.Ejemplo;ADT/RA2_Bases_relacionales_y_JDBC/Ejemplo_9_tema_3_acceso_datos
Ejemplo_agrupacion_hilos_1;PSP;RA2;RA2_Programacion_multihilo;Ejemplo guiado;Inicial;Concurrencia Java, Hilos Java;3;Proyecto Eclipse/Java;Ejemplo_agrupacion_hilos_1.Principal;PSP/RA2_Programacion_multihilo/Ejemplo_agrupacion_hilos_1
Ejemplo_Callable;PSP;RA2;RA2_Programacion_multihilo;Ejemplo guiado;Inicial;Concurrencia Java, Hilos Java;3;Proyecto Eclipse/Java;Ejemplo_Callable.PrincipalCallable;PSP/RA2_Programacion_multihilo/Ejemplo_Callable
Ejemplo_chat_multicast_socket;PSP;RA3;RA3_Comunicaciones_en_red;Ejemplo guiado;Inicial;Redes Java, Hilos Java;3;Proyecto Eclipse/Java;HiloReceptor.ChatMulticast;PSP/RA3_Comunicaciones_en_red/Ejemplo_chat_multicast_socket
